,0
0,virginamerica plus youve added commercial experience tacky
1,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse
2,virginamerica really big bad thing
3,virginamerica seriously would pay 30 flight seat didnt playing really bad thing flying va
4,virginamerica yes nearly every time fly vx ear worm go away
5,virginamerica well didnt
6,virginamerica amazing arrived hour early youre good
7,virginamerica lt3 pretty graphic much better minimal iconography
8,virginamerica great deal already thinking 2nd trip australia amp havent even gone 1st trip yet p
9,virginamerica virginmedia im flying fabulous seductive sky u take stress away travel httptcoahlxhhkiyn
10,virginamerica thanks
11,virginamerica sfopdx schedule still mia
12,virginamerica excited first cross country flight lax mco ive heard nothing great thing virgin america 29daystogo
13,virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help
14,flying virginamerica
15,virginamerica know would amazingly awesome bosfll please want fly
16,virginamerica first fare may three time carrier seat available select
17,virginamerica love graphic httptcout5grrwaaa
18,virginamerica love hipster innovation feel good brand
19,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet
20,virginamerica status match program applied three week called emailed response
21,virginamerica happened 2 ur vegan food option least say ur site know wont able 2 eat anything next 6 hr fail
22,virginamerica amazing cant get cold air vent vx358 noair worstflightever roasted sfotobos
23,virginamerica hi bked cool birthday trip cant add elevate cause entered middle name flight booking problem
24,virginamerica help left expensive headphone flight 89 iad lax today seat 2a one answering lampf number lax
25,virginamerica awaiting return phone call would prefer use online selfservice option
26,virginamerica great news america could start flight hawaii end year httptcor8p2zy3fe4 via pacificbiznews
27,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday
28,virginamerica freddieawards done done best airline around hand
29,virginamerica chat support working site httptcovhp2gtdwpk
30,virginamerica view downtown los angeles hollywood sign beyond rain mountain httptcodw5nf0ibtr
31,virginamerica hey first time flyer next week excited im hard time getting flight added elevate account help
32,virginamerica im elevategold good reason rock
33,virginamerica wow blew mind
34,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood
35,virginamerica hi im excited 99 lgagtdal deal ive trying 2 book since last week amp page never load thx
36,virginamerica know need spotify stat guiltypleasures
37,virginamerica ladygaga carrieunderwood im lady gaga amazing
38,virginamerica called 34 week ago adding 3 flight 2014 elevatethey still havent shown uphelp
39,virginamerica ladygaga carrieunderwood love three really cant beat classic
40,virginamerica heyyyy guyyyys trying get hour someone call please
41,virginamerica hi virgin im hold 4050 minute earlier flight la nyc tonight earlier 1150pm
42,virginamerica congrats winning travelzoo award best deal airline u httptcokj1iljaebv
43,virginamerica everything fine lost bag
44,virginamerica airline awesome lax loft need step game 40 dirty table floor httptcohy0vrfhjht
45,virginamerica worried great ride new plane great crew airline like
46,virginamerica awesome flew yall sat morning way correct bill
47,virginamerica going customer service anyway speak human asap thank
48,virginamerica cant supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness
49,virginamerica ive applied member inflight crew teamim 100 interested flightattendant dreampath g
50,virginamerica youre best whenever begrudgingly use airline im delayed late flight
51,virginamerica interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness
